36th Parliament, 1st Session
65	Ontario Heritage Day Act, 2003	
Agostino, Dominic
66	Stalkers Registry Act, 2003	
Bartolucci, Rick
67	Gravesites of Former Premiers Act, 2003	
Peters, Steve
68	Mandatory Retirement Elimination Act, 2003	
DeFaria, Hon. Carl Minister Responsible for Seniors
69	Assessment Amendment Act (Improvements for Seniors and the Disabled), 2003	
Christopherson, David
70	Removal of Occupational Barriers Act, 2003	
Ruprecht, Tony
71	Health Insurance Amendment Act (Supplemental Newborn Screening), 2003	
Duncan, Dwight
72	Physical Fitness Day Act, 2003	
O'Toole, John
73	Family Restroom Facilities Act, 2003	
Parsons, Ernie
74	Safety in Highway Construction Zones Statute Law Amendment Act, 2003	
Hoy, Pat
75	Ontario Disability Support Program Amendment Act, 2003	
Parsons, Ernie
76	Health Insurance Amendment Act (Insulin Pumps for Diabetics), 2003	
Duncan, Dwight
77	Irish Heritage Day Act, 2003	
O'Toole, John
78	Condominium Amendment Act (Transient Tenancies), 2003	
Smitherman, George
79	Kids First Licences Act, 2003	
Duncan, Dwight
80	Archives Awareness Week Act, 2003	
Johnson, Bert
81	Highway Traffic Amendment Act (Helmets), 2003	
Levac, Dave
82	Environmental Protection Amendment Act (Pre-Treatment of Hazardous Waste), 2003	
Di Cocco, Caroline
83	SARS Inquiry Act, 2003	
Hampton, Howard
84	Insurance Amendment Act (Election Cancellation Insurance), 2003	
Parsons, Ernie
85	Environmental Protection Amendment Act (Industrial Facilities), 2003	
Levac, Dave
86	Veterans Appreciation Day Act, 2003	
Bartolucci, Rick
87	Public Sector Energy Efficiency Act, 2003	
Cordiano, Joseph
88	Junket Registry Act, 2003	
Kormos, Peter
89	Coroners Amendment Act, 2003	
Hoy, Pat
90	Highway Traffic Amendment Act (School Buses), 2003	
Parsons, Ernie
91	Preventing Partisan Advertising Act, 2003	
Bradley, James J.
92	Celebration of Hellenic Heritage Act, 2003	
Bountrogianni, Marie
93	Traditional Chinese Medicine Practioners, Traditional Chinese Medicine Herbalists and Acupuncturists Act, 2003	
Colle, Mike
94	Election Amendment Act, 2003	
Conway, Sean
95	Pipeline Excavation Safety and Accountability Act, 2003	
Sergio, Mario
96	Macdonald-Cartier Freeway Act, 2003	
Lalonde, Jean-Marc
97	Dwarf Tossing Ban Act, 2003	
Pupatello, Sandra
98	Compensation for Victims of Crime Amendment Act, 2003	
Duncan, Dwight
99	Day Nurseries Amendment Act, 2003	
Lalonde, Jean-Marc
100	Kawartha Highlands Signature Site Park Act, 2003	
Eves, Hon. Ernie Premier
101	Cabinet Ministers' and Opposition Leaders' Expenses Review and Accountability Statute Law Amendment Act, 2003	
Duncan, Dwight
102	Chris Stockwell Act, 2003	
Kormos, Peter
103	Consumer Reporting Amendment Act, 2003	
Cordiano, Joseph
104	Pierre Elliott Trudeau Highway Act, 2003	
Lalonde, Jean-Marc
105	Tenant Protection Amendment Act (Fairness in Rent Increases), 2003	
Caplan, David
106	Transparency in Public Matters Act, 2003	
Di Cocco, Caroline
107	Abolition of the Ontario Municipal Board Act, 2003	
Colle, Mike
108	Keeping Water in Public Hands Act, 2003	
Caplan, David
109	Highway Traffic Amendment Act (Motorcycle Helmets), 2003	
Bartolucci, Rick
110	June 30, 2003 Statutory Holiday Act, 2003	
Kormos, Peter
111	International Day for the Elimination of Racial Discrimination Act, 2003	
Duncan, Dwight
112	Sir Adam Beck Memorial Act, 2003	
Hampton, Howard
113	Public Transportation and Highway Improvement Amendment Act (Noise Remediation), 2003	
Caplan, David
114	Fire Protection and Prevention Amendment Act, 2003	
Levac, Dave
115	Auto-Dialer Crime Alert Act, 2003	
Colle, Mike
116	Registered Plan (Retirement Income) Exemption Act, 2003	
Bartolucci, Rick
117	Private Investigators and Security Guards Amendment Act, 2003	
Levac, Dave
118	Education Amendment Act (Appropriate Use of Technology in Schools), 2003	
Caplan, David
119	Employment Standards Amendment Act, 2003	
Tascona, Joseph N.
120	Environmental Protection Amendment Act, 2003	
O'Toole, John
121	Michael Maxwell Act (Health Insurance Amendment), 2003	
Martel, Shelley
122	Polar Bear Protection Act, 2003	
Mushinski, Marilyn
123	Mega-Hog Farm Control Act, 2003	
Lalonde, Jean-Marc
124	Ontario Heritage Amendment Act, 2003	
Tsubouchi, Hon. David H. Minister of Culture
125	Italian Heritage Day Act, 2003	
Agostino, Dominic
126	Electronic Waste Producer Responsibility Act, 2003	
Churley, Marilyn
127	Investment Trust Unitholders Protection from Liability Act, 2003	
Hastings, John
128	Children's Health and the Environment Branch Act, 2003	
Churley, Marilyn
129	Automobile Insurance Rates Control Act, 2003	
Smitherman, George
130	Volunteer Firefighters Employment Protection Act, 2003	
Arnott, Ted
131	Amateur Baseball Month Act, 2003	
Wettlaufer, Wayne

38th Parliament, 1st Session
Bill title search
No.	Bill title	Sponsor
1	An Act to perpetuate an ancient parliamentary right	
McGuinty, Hon. Dalton Premier
PR2	Malton Seventh-day Adventist Church Act, 2004	
Qaadri, Shafiq
2	Fiscal Responsibility Act, 2003	
Sorbara, Hon. Greg Minister of Finance
3	Sabrina's Law, 2005	
Levac, Dave
PR3	Association of Registered Graphic Designers of Ontario Act, 2004	
Peterson, Tim
PR4	Ontario Recreation Facilities Association Act, 2004	
Brownell, Jim
4	Ontario Energy Board Amendment Act (Electricity Pricing), 2003	
Duncan, Hon. Dwight Minister of Energy
5	Automobile Insurance Rate Stabilization Act, 2003	
Sorbara, Hon. Greg Minister of Finance
PR5	Conrad Grebel University College Act, 2004	
Arnott, Ted
6	Labour Relations Amendment Act (Replacement Workers), 2003	
Kormos, Peter
PR6	Redeemer University College Act, 2004	
McMeekin, Ted
PR7	Key Aircraft Services Inc. Act, 2005	
Jeffrey, Linda
7	VQA Wine Stores Act, 2005	
Hudak, Tim
PR8	City of Ottawa Act (Licence Committee), 2004	
McNeely, Phil
8	Commitment to the Future of Medicare Act, 2004	
Smitherman, Hon. George Minister of Health and Long-Term Care
9	Environmental Protection Amendment Act (Industrial Facilities), 2003	
Levac, Dave
PR9	Acton Disposal Services Limited Act, 2005	
Racco, Mario G.
10	Pierre Elliott Trudeau Highway Act, 2003	
Lalonde, Jean-Marc
PR10	City of Brampton Act, 2004	
Jeffrey, Linda
11	Michael Maxwell Act (Health Insurance Amendment), 2003	
Martel, Shelley
PR11	Kitchener-Waterloo Y.M.C.A. Act, 2005	
Witmer, Elizabeth
12	Ontarians with Disabilities Amendment Act, 2003	
Jackson, Cameron
PR12	Tyndale University College & Seminary Act, 2005	
Klees, Frank
13	Macdonald-Cartier Freeway Act, 2003	
Lalonde, Jean-Marc
14	Adoption Disclosure Statute Law Amendment Act, 2003	
Churley, Marilyn
PR14	Institute for Christian Studies Act, 2005	
Marchese, Rosario
15	Public Sector Salary Disclosure Amendment Act, 2004	
Duncan, Hon. Dwight Minister of Energy
PR15	Toronto Atmospheric Fund Act, 2005	
Duguid, Brad
16	Ontario Heritage Day Act, 2003	
Brownell, Jim
17	Executive Council Amendment Act, 2004	
Bryant, Hon. Michael Attorney General
18	Audit Statute Law Amendment Act, 2004	
Sorbara, Hon. Greg Minister of Finance
19	Children's Health and the Environment Branch Act, 2003	
Churley, Marilyn
20	Occupational Health and Safety Amendment Act, 2003	
Kormos, Peter
21	Ontario Water Resources Amendment Act (Water Source Protection),2003	
Churley, Marilyn
22	Tommy Douglas Act (Patients' Bill of Rights), 2003	
Martel, Shelley
23	Highway Traffic Amendment Act (Cellular Phones), 2003	
O'Toole, John
24	Electricity Amendment Act, 2003	
Jackson, Cameron
25	Government Advertising Act, 2004	
Phillips, Hon. Gerry Chair of the Management Board of Cabinet
26	Strong Communities (Planning Amendment) Act, 2004	
Gerretsen, Hon. John Minister of Municipal Affairs
27	Greenbelt Protection Act, 2004	
Gerretsen, Hon. John Minister of Municipal Affairs
28	Supply Act, 2003	
Sorbara, Hon. Greg Minister of Finance
29	Electronic Waste Producer Responsibility Act, 2003	
Churley, Marilyn
30	Ontario Disability Support Program Amendment Act (Fairness in Disability Income Support Payments), 2003	
Martel, Shelley
31	Health Information Protection Act, 2004	
Smitherman, Hon. George Minister of Health and Long-Term Care
32	No Hog Factories Act, 2003	
Churley, Marilyn
33	Irish Heritage Day Act, 2004	
O'Toole, John
34	Ontario Drinking Water Source Protection Act, 2003	
Churley, Marilyn
35	Trust Beneficiaries' Liability Act, 2003	
Baird, John R.
36	Municipal Amendment Act, 2003	
Hudak, Tim
37	Executive Council Amendment Act, 2003	
Baird, John R.
38	Balanced Budget Amendment Act, 2003	
Baird, John R.
39	Recall Act, 2004	
Barrett, Toby
40	Emergency Service Provider's Insurance Protection Act (Insurance Amendment), 2004	
Wilkinson, John
41	Keep Your Promises Act, 2004	
Wilson, Jim
42	MPP Salary Freeze Act, 2004	
McGuinty, Hon. Dalton Premier
43	Sandy's Law (Liquor Licence Amendment), 2004	
Parsons, Ernie
44	Alexander Graham Bell Parkway Act, 2004	
Levac, Dave
45	Optometry Amendment Act, 2004	
Kormos, Peter
46	Assessment Amendment Act (Maple Syrup), 2004	
Sterling, Norman W.
47	Safeguard Our Seniors Act, 2004	
Hampton, Howard
48	Petroleum Products Price Freeze Act, 2004	
Tascona, Joseph N.
49	Adams Mine Lake Act, 2004	
Dombrowsky, Hon. Leona Minister of the Environment
50	Members' Integrity Amendment Act, 2004	
Runciman, Robert W.
51	Fixed Dates for Elections Act (October 4, 2007 Commencement), 2004	
Sterling, Norman W.
52	Volunteer Firefighters Employment Protection Act, 2004	
Arnott, Ted
53	Protection of Minors from Sexually Explicit Goods and Services Act, 2004	
O'Toole, John
54	Fixed Dates for Elections Act (June 7, 2007 Commencement), 2004	
Sterling, Norman W.
55	Health Insurance Amendment Act (Insulin Pumps for Diabetics), 2004	
Gravelle, Michael
56	Employment Standards Amendment Act (Family Medical Leave), 2004	
Bentley, Hon. Christopher Minister of Labour
57	Health Insurance Amendment Act, 2004	
Witmer, Elizabeth
58	Safe Streets Statute Law Amendment Act, 2005	
Lalonde, Jean-Marc
59	Day Nurseries Amendment Act, 2004	
Lalonde, Jean-Marc
60	Ontario Heritage Amendment Act, 2005	
Meilleur, Hon. Madeleine Minister of Culture
61	LCBO Deposit and Return Act, 2004	
Miller, Norman
62	Waste Disposal Site 41 in the Township of Tiny Act, 2004	
Dunlop, Garfield
63	Employment Standards Amendment Act (Hours of Work and Other Matters), 2004	
Bentley, Hon. Christopher Minister of Labour
64	Pension Benefits Amendment Act, 2004	
Kormos, Peter
65	Collection Agencies Amendment Act, 2004	
Sergio, Mario
66	Private Investigators and Security Guards Amendment Act, 2004	
Sergio, Mario
67	Pipeline Excavation Safety and Accountability Act, 2004	
Sergio, Mario
68	Edible Oil Products Repeal Date Amendment Act, 2004	
Peters, Hon. Steve Minister of Agriculture and Food
69	Anti-Spam Act, 2004	
Marsales, Judy
70	Ministry of Consumer and Business Services Statute Law Amendment Act, 2004	
Watson, Hon. Jim Minister of Consumer and Business Services
71	Olympic Day Act, 2004	
Fonseca, Peter
72	Senatorial Selection Act, 2004	
Runciman, Robert W.
73	Highway Traffic Statute Law Amendment Act (Child and Youth Safety), 2004	
Takhar, Hon. Harinder S. Minister of Transportation
74	Keep Your Promises at the Pump Act, 2004	
Bisson, Gilles
75	Retail Sales Tax Amendment Act, 2004	
O'Toole, John
76	Election Amendment Act, 2004	
Patten, Richard
77	Retail Sales Tax Amendment Act, 2004	
Arnott, Ted
78	Kevin's Law (Child and Family Services Statute Law Amendment), 2004	
Jackson, Cameron
79	Ontario Workers' Memorial Act, 2004	
Ramal, Khalil
80	Gasoline Consumer Protection Act, 2004	
Crozier, Bruce
81	Freedom of Information and Protection of Privacy Amendment Act, 2004	
Marchese, Rosario
82	Professional Learning Program Cancellation Act, 2004	
Kennedy, Hon. Gerard Minister of Education
83	Budget Measures Act, 2004	
Sorbara, Hon. Greg Minister of Finance
84	Fiscal Transparency and Accountability Act, 2004	
Sorbara, Hon. Greg Minister of Finance
85	Taxpayer Protection Affirmation Act, 2004	
Klees, Frank
86	Election Statute Law Amendment Act, 2004	
Bountrogianni, Hon. Marie Minister Responsible for Democratic Renewal
87	Gareth Rodgers Act for Sport Parachuting (Freefalling Regulation), 2004	
Tascona, Joseph N.
88	Private Investigators and Security Guards Amendment Act, 2004	
Dunlop, Garfield
89	Representation Amendment Act (Northern Ontario), 2004	
Bisson, Gilles
90	Protection of Minors from Sexually Explicit Goods and Services Act, 2004	
O'Toole, John
91	Dental Hygiene Amendment Act, 2004	
Cansfield, Donna H.
92	Municipal Amendment Act, 2005	
Gerretsen, Hon. John Minister of Municipal Affairs and Housing
93	Keep your Promise on the Gas Price Watchdog Act, 2004	
Bisson, Gilles
94	Public Accounting Act, 2004	
Bryant, Hon. Michael Attorney General
95	Ontario Lottery and Gaming Corporation Amendment Act, 2004	
Arnott, Ted
96	Liquor Licence Amendment Act, 2004	
Watson, Hon. Jim Minister of Consumer and Business Services
97	First Nations Resource Revenue Sharing Act, 2004	
Bisson, Gilles
98	Niagara Escarpment Planning and Development Amendment Act, 2004	
Churley, Marilyn
99	Transparency in Public Matters Act, 2004	
Di Cocco, Caroline
100	Electricity Restructuring Act, 2004	
Duncan, Hon. Dwight Minister of Energy
101	Health Insurance Amendment Act (Supplemental Newborn Screening), 2005	
Baird, John R.
102	Asian Longhorn Beetle Confinement Act, 2004	
Tascona, Joseph N.
103	Blind Persons' Rights Amendment Act, 2005	
Martiniuk, Gerry
104	Transitional Physician Payment Review Act, 2004	
Smitherman, Hon. George Minister of Health and Long-Term Care
105	Tax Terminology Harmonization Act, 2004	
Sorbara, Hon. Greg Minister of Finance
106	Budget Measures Act, 2004 (No. 2)	
Sorbara, Hon. Greg Minister of Finance
107	Trustee Statute Law Amendment Act, 2004	
Klees, Frank
108	Carlie Myke and Brandon White Act (Safe School Zones Highway Traffic Amendment), 2004	
Levac, Dave
109	Highway Traffic Amendment Act (Helmets), 2004	
Levac, Dave
110	Mandatory Gunshot Wounds Reporting Act, 2005	
Kwinter, Hon. Monte Minister of Community Safety and Correctional Services
111	Genocide Memorial Week Act, 2004	
Dunlop, Garfield
112	Removing a Member from the Toronto Police Services Board Act, 2004	
Churley, Marilyn
113	Asian Heritage Act, 2005	
Wong, Tony C.
114	Election Finances Amendment Act, 2004	
Bryant, Hon. Michael Attorney General
115	Gas Price Watchdog Act, 2004	
Gravelle, Michael
116	Dental Hygiene Amendment Act, 2004	
Flaherty, Jim
117	Ottawa is a Bilingual City Act, 2004	
Bisson, Gilles
118	Accessibility for Ontarians with Disabilities Act, 2005	
Bountrogianni, Hon. Marie Minister of Citizenship and Immigration
119	Archives Awareness Week Act, 2004	
O'Toole, John
120	City of Toronto Amendment Act, 2004	
Wynne, Kathleen O.
121	Legislative Assembly Amendment Act, 2004	
O'Toole, John
122	Corporations Tax Amendment Act (Fines and Penalties not Deductible), 2004	
Churley, Marilyn
123	Transparency in Public Matters Act, 2005	
Di Cocco, Caroline
124	Health Protection and Promotion Amendment Act 2004	
Smitherman, Hon. George Minister of Health and Long-Term Care
125	Environmental Protection Amendment Act 2004	
O'Toole, John
126	Occupational Health and Safety Act (Harassment), 2004	
Churley, Marilyn
127	Physical Fitness Day Act, 2004	
O'Toole, John
128	Law Enforcement and Forfeited Property Management Statute Law Amendment Act, 2005	
Kwinter, Hon. Monte Minister of Community Safety and Correctional Services
129	Highway Traffic Amendment Act, 2004	
Milloy, John
130	Kids First Licences Act, 2004	
Broten, Laurel C.
131	Occupational Health and Safety Amendment Act (Workplace Violence and Workplace Harassment), 2004	
Broten, Laurel C.
132	Public Safety Related to Dogs Statute Law Amendment Act, 2005	
Bryant, Hon. Michael Attorney General
133	Environmental Enforcement Statute Law Amendment Act, 2005	
Dombrowsky, Hon. Leona Minister of the Environment
134	Municipal Amendment Act (Hospices Exemption), 2004	
Flynn, Kevin Daniel
135	Greenbelt Act, 2005	
Gerretsen, Hon. John Minister of Municipal Affairs and Housing
136	Places to Grow Act, 2005	
Caplan, Hon. David Minister of Public Infrastructure Renewal
137	Income Tax Amendment Act (Public Transit Expense Tax Credit), 2005	
O'Toole, John
138	Emergency Management Statute Law Amendment Act, 2004	
Arthurs, Wayne
Broten, Laurel C.
Brownell, Jim
Sandals, Liz
Wilkinson, John
Zimmer, David
Dhillon, Vic
139	Remembrance Day Observance Act, 2004	
Lalonde, Jean-Marc
140	Freedom of Information and Protection of Privacy Amendment Act, 2004	
Martel, Shelley
141	Home Fire Sprinkler Act, 2004	
Jeffrey, Linda
142	Highway Traffic Amendment Act (School Crossing Guards), 2005	
Brown, Michael A.
143	Education Statute Law Amendment Act (Teachers' Assistants), 2004	
Flaherty, Jim
144	Labour Relations Statute Law Amendment Act, 2005	
Bentley, Hon. Christopher Minister of Labour
145	Public Transportation and Highway Improvement Amendment Act (Hastings and Prince Edward Regiment Memorial Highway), 2004	
Parsons, Ernie
146	Frederick Banting Homestead Preservation Act, 2004	
Wilson, Jim
147	Pension Benefits Amendment Act, 2004	
Levac, Dave
148	Recall Act, 2004	
Flaherty, Jim
149	Budget Measures Act (Fall), 2004	
Sorbara, Hon. Greg Minister of Finance
